"siteID"	"centrostephanus.rodgersi"	"colobocentrotus.atratus"	"diadema.pauicispinum"	"diadema.setosum"	"echinometra.mathaei"	"echinometra.oblonga"	"echinotrix.calamaris"	"heliocidaris.erythrogramma"	"heterocentrotus.mammillatus"	"heterocentrotus.trigonarius"	"prionocidaris.baculosa"	"salmacis.belli"	"stomopneustes.variolaris"	"toxopneustes.pileolus"	"tripneustes.gratilla"
"1"	"site1"	0	20	38	11	62	25	22	0	37	15	26	32	40	26	6
"2"	"site10"	28	1	0	0	100	51	5	0	82	40	170	121	0	116	203
"3"	"site11"	24	2	0	1	38	35	9	0	77	68	120	100	0	172	204
"4"	"site12"	3	3	0	3	43	82	6	0	250	79	83	113	0	71	113
"5"	"site13"	0	5	0	2	86	18	1	0	73	82	88	89	0	168	135
"6"	"site14"	0	4	0	1	63	74	7	0	53	62	64	126	11	161	89
"7"	"site15"	0	13	0	3	198	48	20	0	158	27	59	72	2	137	92
"8"	"site16"	0	14	3	6	54	83	17	0	84	51	88	59	17	56	18
"9"	"site17"	0	5	0	12	87	40	13	0	105	103	92	63	53	95	32
"10"	"site18"	0	24	26	8	141	57	9	0	30	72	41	27	89	105	11
"11"	"site19"	0	26	22	16	65	59	43	0	27	24	46	13	60	46	9
"12"	"site2"	0	22	14	18	81	62	14	0	76	93	50	81	54	102	12
"13"	"site20"	0	22	19	28	38	72	40	0	43	26	22	13	39	69	7
"14"	"site21"	0	36	29	12	58	20	29	0	8	26	18	13	16	28	1
"15"	"site22"	0	23	23	14	60	18	50	0	18	21	6	8	9	44	1
"16"	"site23"	0	22	14	15	26	15	51	2	7	1	17	5	3	28	0
"17"	"site24"	0	26	1	17	33	17	51	0	3	3	7	3	0	41	0
"18"	"site25"	0	24	0	17	16	6	35	2	0	1	2	0	0	16	0
"19"	"site3"	0	23	15	9	66	50	19	0	75	67	40	65	29	76	10
"20"	"site4"	0	17	0	10	92	50	13	0	145	32	84	90	8	93	58
"21"	"site5"	0	15	0	4	72	44	10	0	125	38	64	87	18	136	79
"22"	"site6"	0	8	1	3	79	75	13	0	90	62	76	95	5	67	83
"23"	"site7"	2	3	0	1	58	35	5	0	80	52	109	131	0	119	103
"24"	"site8"	18	4	0	0	90	34	7	0	114	49	85	119	0	202	151
"25"	"site9"	46	3	0	0	50	31	3	0	57	36	78	71	0	158	130
