"Nb_sp"	"FRic"	"FEve"	"FDis"
"site1"	13	0.794	0.785	2.284
"site10"	11	0.508	0.608	1.863
"site11"	12	0.596	0.62	1.862
"site12"	12	0.596	0.69	1.991
"site13"	11	0.42	0.695	1.782
"site14"	12	0.539	0.744	1.91
"site15"	12	0.539	0.638	1.898
"site16"	13	0.794	0.746	2.034
"site17"	12	0.539	0.779	2.011
"site18"	13	0.794	0.734	2.191
"site19"	13	0.794	0.769	2.184
"site2"	13	0.794	0.763	2.102
"site20"	13	0.794	0.81	2.206
"site21"	13	0.794	0.809	2.211
"site22"	13	0.794	0.783	2.115
"site23"	13	0.751	0.504	1.974
"site24"	11	0.556	0.432	1.759
"site25"	9	0.265	0.449	1.699
"site3"	13	0.794	0.808	2.095
"site4"	12	0.539	0.716	1.915
"site5"	12	0.539	0.696	1.92
"site6"	13	0.794	0.796	2.018
"site7"	12	0.596	0.631	1.778
"site8"	11	0.508	0.629	1.826
"site9"	11	0.508	0.65	1.928
